"","Minute","Team","Margin"
"580",4,"LAC",-4
"581",5,"LAC",16
"582",6,"LAC",-3
"583",7,"LAC",-15
"584",8,"LAC",14
"585",9,"LAC",4
"586",10,"LAC",20
"587",11,"LAC",-8
"588",12,"LAC",-31
"589",13,"LAC",15
"590",14,"LAC",45
"591",15,"LAC",-24
"592",16,"LAC",-8
"593",17,"LAC",18
"594",18,"LAC",-1
"595",19,"LAC",6
"596",20,"LAC",15
"597",21,"LAC",-27
"598",22,"LAC",-17
"599",23,"LAC",33
"600",24,"LAC",-37
"601",25,"LAC",-27
"602",26,"LAC",-38
"603",27,"LAC",16
"604",28,"LAC",-11
"605",29,"LAC",-27
"606",30,"LAC",-23
"607",31,"LAC",21
"608",32,"LAC",-23
"609",33,"LAC",10
"610",34,"LAC",7
"611",35,"LAC",14
"612",36,"LAC",23
"613",37,"LAC",-5
"614",38,"LAC",31
"615",39,"LAC",24
"616",40,"LAC",32
"617",41,"LAC",-13
"618",42,"LAC",25
"619",43,"LAC",-17
"620",44,"LAC",16
"621",45,"LAC",4
"622",46,"LAC",8
"623",47,"LAC",-8
"624",48,"LAC",-2
"625",1,"DEN",-10
"626",2,"DEN",10
"627",3,"DEN",15
"628",4,"DEN",-3
"629",5,"DEN",48
"630",6,"DEN",2
"631",7,"DEN",4
"632",8,"DEN",42
"633",9,"DEN",-26
"634",10,"DEN",53
"635",11,"DEN",-9
"636",12,"DEN",-20
"637",13,"DEN",-7
"638",14,"DEN",-3
"639",15,"DEN",12
"640",16,"DEN",-19
"641",17,"DEN",-5
"642",18,"DEN",5
"643",19,"DEN",-22
"644",20,"DEN",36
"645",21,"DEN",44
"646",22,"DEN",-11
"647",23,"DEN",-25
"648",24,"DEN",20
"649",25,"DEN",6
"650",26,"DEN",-25
"651",27,"DEN",48
"652",28,"DEN",11
"653",29,"DEN",1
"654",30,"DEN",15
"655",31,"DEN",-6
"656",32,"DEN",-10
"657",33,"DEN",3
"658",34,"DEN",40
"659",35,"DEN",-6
"660",36,"DEN",-9
"661",37,"DEN",26
"662",38,"DEN",11
"663",39,"DEN",22
"664",40,"DEN",6
"665",41,"DEN",-62
"666",42,"DEN",-5
"667",43,"DEN",28
"668",44,"DEN",33
"669",45,"DEN",-9
"670",46,"DEN",42
"671",47,"DEN",15
"672",48,"DEN",-4
"673",1,"DET",10
"674",2,"DET",23
"675",3,"DET",-32
"676",4,"DET",-30
"677",5,"DET",33
"678",6,"DET",23
"679",7,"DET",39
"680",8,"DET",-26
"681",9,"DET",-29
"682",10,"DET",-16
"683",11,"DET",-21
"684",12,"DET",9
"685",13,"DET",-30
"686",14,"DET",-7
"687",15,"DET",19
"688",16,"DET",31
"689",17,"DET",-42
"690",18,"DET",-48
"691",19,"DET",14
"692",20,"DET",-19
"693",21,"DET",36
"694",22,"DET",-5
"695",23,"DET",-6
"696",24,"DET",9
"697",25,"DET",19
"698",26,"DET",-8
"699",27,"DET",-10
